Unnamed: 0,Tweets,date tweets,Sentimen,remove_user,cleaning,case_folding,tokenisasi,normalisasi,stopword_removal,stemming,to_sentence
468,Padahal ku pengen bgt honeymoon ke malanggg ke bromo tp lagi kebakaran bromo nyaaa😢😢😢😢,2023-09-11 12:50:00+00:00,3,Padahal ku pengen bgt honeymoon ke malanggg ke bromo tp lagi kebakaran bromo nyaaa😢😢😢😢,Padahal pengen bgt honeymoon malangg bromo lagi kebakaran bromo nyaa ,padahal pengen bgt honeymoon malangg bromo lagi kebakaran bromo nyaa ,"['padahal', 'pengen', 'bgt', 'honeymoon', 'malangg', 'bromo', 'lagi', 'kebakaran', 'bromo', 'nyaa']","['padahal', 'pengin', 'banget', 'honeymoon', 'malang', 'bromo', 'lagi', 'kebakaran', 'bromo', 'nya']","['pengin', 'banget', 'honeymoon', 'malang', 'bromo', 'kebakaran', 'bromo']","['pengin', 'banget', 'honeymoon', 'malang', 'bromo', 'bakar', 'bromo']",pengin banget honeymoon malang bromo bakar bromo
469,"Gara2 mainan flare 50 hektar bukit teletubbies bromo kebakaran. Mau wo, penganten, fotografer-nya goblok semua",2023-09-11 12:50:37+00:00,1,"Gara2 mainan flare 50 hektar bukit teletubbies bromo kebakaran. Mau wo, penganten, fotografer-nya goblok semua",Gara mainan flare hektar bukit teletubbies bromo kebakaran Mau penganten fotografer nya goblok semua,gara mainan flare hektar bukit teletubbies bromo kebakaran mau penganten fotografer nya goblok semua,"['gara', 'mainan', 'flare', 'hektar', 'bukit', 'teletubbies', 'bromo', 'kebakaran', 'mau', 'penganten', 'fotografer', 'nya', 'goblok', 'semua']","['gara', 'mainan', 'flare', 'hektar', 'bukit', 'teletubbies', 'bromo', 'kebakaran', 'mau', 'pengantin', 'fotografer', 'nya', 'goblok', 'semua']","['gara', 'mainan', 'flare', 'hektar', 'bukit', 'teletubbies', 'bromo', 'kebakaran', 'pengantin', 'fotografer', 'goblok']","['gara', 'main', 'flare', 'hektar', 'bukit', 'teletubbies', 'bromo', 'bakar', 'pengantin', 'fotografer', 'goblok']",gara main flare hektar bukit teletubbies bromo bakar pengantin fotografer goblok
470,Gw pengen ke bromo tp bromonya kebakaran 😭,2023-09-11 12:50:39+00:00,2,Gw pengen ke bromo tp bromonya kebakaran 😭, pengen bromo bromonya kebakaran , pengen bromo bromonya kebakaran ,"['pengen', 'bromo', 'bromonya', 'kebakaran']","['pengin', 'bromo', 'bromonya', 'kebakaran']","['pengin', 'bromo', 'bromonya', 'kebakaran']","['pengin', 'bromo', 'bromonya', 'bakar']",pengin bromo bromonya bakar
471,@acarnanashh @AREAJULID Emang sampe punya anak ? Malam pertama aja ga bisa berdiri karna kepikiran kebakaran bromo,2023-09-11 12:50:52+00:00,1,  Emang sampe punya anak ? Malam pertama aja ga bisa berdiri karna kepikiran kebakaran bromo, Emang sampe punya anak Malam pertama aja bisa berdiri karna kepikiran kebakaran bromo, emang sampe punya anak malam pertama aja bisa berdiri karna kepikiran kebakaran bromo,"['emang', 'sampe', 'punya', 'anak', 'malam', 'pertama', 'aja', 'bisa', 'berdiri', 'karna', 'kepikiran', 'kebakaran', 'bromo']","['memang', 'sampai', 'punya', 'anak', 'malam', 'pertama', 'saja', 'bisa', 'berdiri', 'karena', 'kepikiran', 'kebakaran', 'bromo']","['anak', 'malam', 'berdiri', 'kepikiran', 'kebakaran', 'bromo']","['anak', 'malam', 'diri', 'pikir', 'bakar', 'bromo']",anak malam diri pikir bakar bromo
472,ko aku malah kasian y sama fotografer + pasangan prewed di kasus kebakaran gunung bromo.  maksudnya tuh kan itu ga sengaja dan mereka juga gamau itu terjadi.,2023-09-11 12:51:11+00:00,1,ko aku malah kasian y sama fotografer + pasangan prewed di kasus kebakaran gunung bromo.  maksudnya tuh kan itu ga sengaja dan mereka juga gamau itu terjadi., aku malah kasian sama fotografer pasangan prewed kasus kebakaran gunung bromo maksudnya tuh kan itu sengaja dan mereka juga gamau itu terjadi , aku malah kasian sama fotografer pasangan prewed kasus kebakaran gunung bromo maksudnya tuh kan itu sengaja dan mereka juga gamau itu terjadi ,"['aku', 'malah', 'kasian', 'sama', 'fotografer', 'pasangan', 'prewed', 'kasus', 'kebakaran', 'gunung', 'bromo', 'maksudnya', 'tuh', 'kan', 'itu', 'sengaja', 'dan', 'mereka', 'juga', 'gamau', 'itu', 'terjadi']","['aku', 'malah', 'kasihan', 'sama', 'fotografer', 'pasangan', 'prewed', 'kasus', 'kebakaran', 'gunung', 'bromo', 'maksudnya', 'tuh', 'kan', 'itu', 'sengaja', 'dan', 'mereka', 'juga', 'enggak mau', 'itu', 'terjadi']","['kasihan', 'fotografer', 'pasangan', 'prewed', 'kebakaran', 'gunung', 'bromo', 'maksudnya', 'sengaja', 'enggak mau']","['kasihan', 'fotografer', 'pasang', 'prewed', 'bakar', 'gunung', 'bromo', 'maksud', 'sengaja', 'enggak mau']",kasihan fotografer pasang prewed bakar gunung bromo maksud sengaja enggak mau
473,hadeh blm kesampean ke bromo dari kuliah trs skrg kebakaran😒,2023-09-11 12:52:40+00:00,2,hadeh blm kesampean ke bromo dari kuliah trs skrg kebakaran😒,hadeh blm kesampean bromo dari kuliah trs skrg kebakaran ,hadeh blm kesampean bromo dari kuliah trs skrg kebakaran ,"['hadeh', 'blm', 'kesampean', 'bromo', 'dari', 'kuliah', 'trs', 'skrg', 'kebakaran']","['hadeh', 'belum', 'kesampaian', 'bromo', 'dari', 'kuliah', 'terus', 'sekarang', 'kebakaran']","['hadeh', 'bromo', 'kuliah', 'kebakaran']","['hadeh', 'bromo', 'kuliah', 'bakar']",hadeh bromo kuliah bakar
474,"lihat kasus kebakaran di bromo, lepas dari satu kesalahan yang berdampak besar, reaksi rang-orang dengan nyerang hidup dan kehidupan pelaku seolah-olah dia paling jahat ini kok serem juga ya. oke dia menghancurkan rerumputan, tapi..kita juga jadi menghancurkan hidup orang, kah?",2023-09-11 12:54:21+00:00,2,"lihat kasus kebakaran di bromo, lepas dari satu kesalahan yang berdampak besar, reaksi rang-orang dengan nyerang hidup dan kehidupan pelaku seolah-olah dia paling jahat ini kok serem juga ya. oke dia menghancurkan rerumputan, tapi..kita juga jadi menghancurkan hidup orang, kah?",lihat kasus kebakaran bromo lepas dari satu kesalahan yang berdampak besar reaksi rang orang dengan nyerang hidup dan kehidupan pelaku seolah olah dia paling jahat ini kok serem juga oke dia menghancurkan rerumputan tapi kita juga jadi menghancurkan hidup orang kah ,lihat kasus kebakaran bromo lepas dari satu kesalahan yang berdampak besar reaksi rang orang dengan nyerang hidup dan kehidupan pelaku seolah olah dia paling jahat ini kok serem juga oke dia menghancurkan rerumputan tapi kita juga jadi menghancurkan hidup orang kah ,"['lihat', 'kasus', 'kebakaran', 'bromo', 'lepas', 'dari', 'satu', 'kesalahan', 'yang', 'berdampak', 'besar', 'reaksi', 'rang', 'orang', 'dengan', 'nyerang', 'hidup', 'dan', 'kehidupan', 'pelaku', 'seolah', 'olah', 'dia', 'paling', 'jahat', 'ini', 'kok', 'serem', 'juga', 'oke', 'dia', 'menghancurkan', 'rerumputan', 'tapi', 'kita', 'juga', 'jadi', 'menghancurkan', 'hidup', 'orang', 'kah']","['lihat', 'kasus', 'kebakaran', 'bromo', 'lepas', 'dari', 'satu', 'kesalahan', 'yang', 'berdampak', 'besar', 'reaksi', 'rang', 'orang', 'dengan', 'menyerang', 'hidup', 'dan', 'kehidupan', 'pelaku', 'seolah', 'olah', 'dia', 'paling', 'jahat', 'ini', 'kok', 'seram', 'juga', 'oke', 'dia', 'menghancurkan', 'rerumputan', 'tapi', 'kita', 'juga', 'jadi', 'menghancurkan', 'hidup', 'orang', 'kah']","['lihat', 'kebakaran', 'bromo', 'lepas', 'kesalahan', 'berdampak', 'reaksi', 'rang', 'orang', 'menyerang', 'hidup', 'kehidupan', 'pelaku', 'olah', 'jahat', 'seram', 'oke', 'menghancurkan', 'rerumputan', 'menghancurkan', 'hidup', 'orang', 'kah']","['lihat', 'bakar', 'bromo', 'lepas', 'salah', 'dampak', 'reaksi', 'rang', 'orang', 'serang', 'hidup', 'hidup', 'laku', 'olah', 'jahat', 'seram', 'oke', 'hancur', 'rumput', 'hancur', 'hidup', 'orang', 'kah']",lihat bakar bromo lepas salah dampak reaksi rang orang serang hidup hidup laku olah jahat seram oke hancur rumput hancur hidup orang kah
475,eh kebakaran bromo serem deh udah nyampe malang,2023-09-11 12:56:23+00:00,1,eh kebakaran bromo serem deh udah nyampe malang, kebakaran bromo serem deh udah nyampe malang, kebakaran bromo serem deh udah nyampe malang,"['kebakaran', 'bromo', 'serem', 'deh', 'udah', 'nyampe', 'malang']","['kebakaran', 'bromo', 'seram', 'deh', 'sudah', 'sampai', 'malang']","['kebakaran', 'bromo', 'seram', 'deh', 'malang']","['bakar', 'bromo', 'seram', 'deh', 'malang']",bakar bromo seram deh malang
476,Ini serius kebakaran bromo masih belum padam sampe sekarang?🥺😭,2023-09-11 12:57:47+00:00,2,Ini serius kebakaran bromo masih belum padam sampe sekarang?🥺😭,Ini serius kebakaran bromo masih belum padam sampe sekarang ,ini serius kebakaran bromo masih belum padam sampe sekarang ,"['ini', 'serius', 'kebakaran', 'bromo', 'masih', 'belum', 'padam', 'sampe', 'sekarang']","['ini', 'serius', 'kebakaran', 'bromo', 'masih', 'belum', 'padam', 'sampai', 'sekarang']","['serius', 'kebakaran', 'bromo', 'padam']","['serius', 'bakar', 'bromo', 'padam']",serius bakar bromo padam
477,itu kalo bromo adalah jirisan kebakaran bakal padam dalam satu malam. yang nonton jirisan pasti paham.,2023-09-11 12:59:50+00:00,2,itu kalo bromo adalah jirisan kebakaran bakal padam dalam satu malam. yang nonton jirisan pasti paham.,itu kalo bromo adalah jirisan kebakaran bakal padam dalam satu malam yang nonton jirisan pasti paham ,itu kalo bromo adalah jirisan kebakaran bakal padam dalam satu malam yang nonton jirisan pasti paham ,"['itu', 'kalo', 'bromo', 'adalah', 'jirisan', 'kebakaran', 'bakal', 'padam', 'dalam', 'satu', 'malam', 'yang', 'nonton', 'jirisan', 'pasti', 'paham']","['itu', 'kalo', 'bromo', 'adalah', 'jirisan', 'kebakaran', 'bakal', 'padam', 'dalam', 'satu', 'malam', 'yang', 'menonton', 'jirisan', 'pasti', 'paham']","['bromo', 'jirisan', 'kebakaran', 'padam', 'malam', 'menonton', 'jirisan', 'paham']","['bromo', 'jirisan', 'bakar', 'padam', 'malam', 'tonton', 'jirisan', 'paham']",bromo jirisan bakar padam malam tonton jirisan paham
478,@detikcom Lah wajib lapor doangan enak bener. Kalo tuh pasangan kucluk kagak foto2 norak di situ gak bakal ada kejadian kebakaran. Suruh orangnya muncul di tv buat permintaan maaf. Larang kawasan Bromo untuk kegiatan foto2 norak begitu,2023-09-11 13:00:55+00:00,1, Lah wajib lapor doangan enak bener. Kalo tuh pasangan kucluk kagak foto2 norak di situ gak bakal ada kejadian kebakaran. Suruh orangnya muncul di tv buat permintaan maaf. Larang kawasan Bromo untuk kegiatan foto2 norak begitu, Lah wajib lapor doangan enak bener Kalo tuh pasangan kucluk kagak foto norak situ gak bakal ada kejadian kebakaran Suruh orangnya muncul buat permintaan maaf Larang kawasan Bromo untuk kegiatan foto norak begitu, lah wajib lapor doangan enak bener kalo tuh pasangan kucluk kagak foto norak situ gak bakal ada kejadian kebakaran suruh orangnya muncul buat permintaan maaf larang kawasan bromo untuk kegiatan foto norak begitu,"['lah', 'wajib', 'lapor', 'doangan', 'enak', 'bener', 'kalo', 'tuh', 'pasangan', 'kucluk', 'kagak', 'foto', 'norak', 'situ', 'gak', 'bakal', 'ada', 'kejadian', 'kebakaran', 'suruh', 'orangnya', 'muncul', 'buat', 'permintaan', 'maaf', 'larang', 'kawasan', 'bromo', 'untuk', 'kegiatan', 'foto', 'norak', 'begitu']","['lah', 'wajib', 'lapor', 'doangan', 'enak', 'benar', 'kalo', 'tuh', 'pasangan', 'kucluk', 'kagak', 'foto', 'norak', 'situ', 'enggak', 'bakal', 'ada', 'kejadian', 'kebakaran', 'suruh', 'orangnya', 'muncul', 'buat', 'permintaan', 'maaf', 'larang', 'kawasan', 'bromo', 'untuk', 'kegiatan', 'foto', 'norak', 'begitu']","['wajib', 'lapor', 'doangan', 'enak', 'pasangan', 'kucluk', 'kagak', 'foto', 'norak', 'situ', 'kejadian', 'kebakaran', 'suruh', 'orangnya', 'muncul', 'permintaan', 'maaf', 'larang', 'kawasan', 'bromo', 'kegiatan', 'foto', 'norak']","['wajib', 'lapor', 'doang', 'enak', 'pasang', 'kucluk', 'kagak', 'foto', 'norak', 'situ', 'jadi', 'bakar', 'suruh', 'orang', 'muncul', 'minta', 'maaf', 'larang', 'kawasan', 'bromo', 'giat', 'foto', 'norak']",wajib lapor doang enak pasang kucluk kagak foto norak situ jadi bakar suruh orang muncul minta maaf larang kawasan bromo giat foto norak
479,Tebak suku biang kerok kebakaran bromo @rynorm,2023-09-11 13:01:04+00:00,2,Tebak suku biang kerok kebakaran bromo ,Tebak suku biang kerok kebakaran bromo ,tebak suku biang kerok kebakaran bromo ,"['tebak', 'suku', 'biang', 'kerok', 'kebakaran', 'bromo']","['tebak', 'suku', 'biang', 'kerok', 'kebakaran', 'bromo']","['tebak', 'suku', 'biang', 'kerok', 'kebakaran', 'bromo']","['tebak', 'suku', 'biang', 'kerok', 'bakar', 'bromo']",tebak suku biang kerok bakar bromo
480,"@AREAJULID belum juga kesampean ke bromo, sudah kebakaran, semoga cepat membaik",2023-09-11 13:02:37+00:00,3," belum juga kesampean ke bromo, sudah kebakaran, semoga cepat membaik", belum juga kesampean bromo sudah kebakaran semoga cepat membaik, belum juga kesampean bromo sudah kebakaran semoga cepat membaik,"['belum', 'juga', 'kesampean', 'bromo', 'sudah', 'kebakaran', 'semoga', 'cepat', 'membaik']","['belum', 'juga', 'kesampaian', 'bromo', 'sudah', 'kebakaran', 'semoga', 'cepat', 'membaik']","['bromo', 'kebakaran', 'semoga', 'cepat', 'membaik']","['bromo', 'bakar', 'moga', 'cepat', 'baik']",bromo bakar moga cepat baik
481,"@mengsimeow Sekarang kan lagi musim kebakaran. Bromo dkk, tpa di bandung, lahan pinggir jl tol. Keknya tiap kota ada. Berjamaah amat, sehabis pltu banten bikin polusi parah.",2023-09-11 13:03:52+00:00,1," Sekarang kan lagi musim kebakaran. Bromo dkk, tpa di bandung, lahan pinggir jl tol. Keknya tiap kota ada. Berjamaah amat, sehabis pltu banten bikin polusi parah.", Sekarang kan lagi musim kebakaran Bromo dkk tpa bandung lahan pinggir tol Keknya tiap kota ada Berjamaah amat sehabis pltu banten bikin polusi parah , sekarang kan lagi musim kebakaran bromo dkk tpa bandung lahan pinggir tol keknya tiap kota ada berjamaah amat sehabis pltu banten bikin polusi parah ,"['sekarang', 'kan', 'lagi', 'musim', 'kebakaran', 'bromo', 'dkk', 'tpa', 'bandung', 'lahan', 'pinggir', 'tol', 'keknya', 'tiap', 'kota', 'ada', 'berjamaah', 'amat', 'sehabis', 'pltu', 'banten', 'bikin', 'polusi', 'parah']","['sekarang', 'kan', 'lagi', 'musim', 'kebakaran', 'bromo', 'dkk', 'tpa', 'bandung', 'lahan', 'pinggir', 'tol', 'kayaknya', 'tiap', 'kota', 'ada', 'berjamaah', 'amat', 'sehabis', 'pltu', 'banten', 'bikin', 'polusi', 'parah']","['musim', 'kebakaran', 'bromo', 'dkk', 'tpa', 'bandung', 'lahan', 'pinggir', 'tol', 'kayaknya', 'kota', 'berjamaah', 'sehabis', 'pltu', 'banten', 'bikin', 'polusi', 'parah']","['musim', 'bakar', 'bromo', 'dkk', 'tpa', 'bandung', 'lahan', 'pinggir', 'tol', 'kayak', 'kota', 'jamaah', 'habis', 'pltu', 'banten', 'bikin', 'polusi', 'parah']",musim bakar bromo dkk tpa bandung lahan pinggir tol kayak kota jamaah habis pltu banten bikin polusi parah
482,Yaallah kasian bgt bromo😭😭😭😭😭 gundul anjrrr kemaren udah kebakar malah kebakaran lagi 😭😭😭😭😭 ih Yaallah sedih deh alam yg indah kek gitu hancur gitu aja 😭😭😭😭,2023-09-11 13:06:03+00:00,1,Yaallah kasian bgt bromo😭😭😭😭😭 gundul anjrrr kemaren udah kebakar malah kebakaran lagi 😭😭😭😭😭 ih Yaallah sedih deh alam yg indah kek gitu hancur gitu aja 😭😭😭😭,Yaallah kasian bgt bromo gundul anjrr kemaren udah kebakar malah kebakaran lagi Yaallah sedih deh alam indah kek gitu hancur gitu aja ,yaallah kasian bgt bromo gundul anjrr kemaren udah kebakar malah kebakaran lagi yaallah sedih deh alam indah kek gitu hancur gitu aja ,"['yaallah', 'kasian', 'bgt', 'bromo', 'gundul', 'anjrr', 'kemaren', 'udah', 'kebakar', 'malah', 'kebakaran', 'lagi', 'yaallah', 'sedih', 'deh', 'alam', 'indah', 'kek', 'gitu', 'hancur', 'gitu', 'aja']","['yaallah', 'kasihan', 'banget', 'bromo', 'gundul', 'anjrr', 'kemarin', 'sudah', 'kebakar', 'malah', 'kebakaran', 'lagi', 'yaallah', 'sedih', 'deh', 'alam', 'indah', 'kayak', 'begitu', 'hancur', 'begitu', 'saja']","['yaallah', 'kasihan', 'banget', 'bromo', 'gundul', 'anjrr', 'kemarin', 'kebakar', 'kebakaran', 'yaallah', 'sedih', 'deh', 'alam', 'indah', 'kayak', 'hancur']","['yaallah', 'kasihan', 'banget', 'bromo', 'gundul', 'anjrr', 'kemarin', 'bakar', 'bakar', 'yaallah', 'sedih', 'deh', 'alam', 'indah', 'kayak', 'hancur']",yaallah kasihan banget bromo gundul anjrr kemarin bakar bakar yaallah sedih deh alam indah kayak hancur
483,"Udh niat mau ke bromo pdhl, seumur idup blom pernah, ehh udh rusak kebakaran 😭😭😭",2023-09-11 13:11:11+00:00,2,"Udh niat mau ke bromo pdhl, seumur idup blom pernah, ehh udh rusak kebakaran 😭😭😭",Udh niat mau bromo pdhl seumur idup blom pernah ehh udh rusak kebakaran ,udh niat mau bromo pdhl seumur idup blom pernah ehh udh rusak kebakaran ,"['udh', 'niat', 'mau', 'bromo', 'pdhl', 'seumur', 'idup', 'blom', 'pernah', 'ehh', 'udh', 'rusak', 'kebakaran']","['sudah', 'niat', 'mau', 'bromo', 'padahal', 'seumur', 'hidup', 'belum', 'pernah', 'eh', 'sudah', 'rusak', 'kebakaran']","['niat', 'bromo', 'seumur', 'hidup', 'rusak', 'kebakaran']","['niat', 'bromo', 'umur', 'hidup', 'rusak', 'bakar']",niat bromo umur hidup rusak bakar
484,"Beberapa kali kejadian besar dipicu hal yang kecil, misal kasus Rafael Alun yang bikin orang antipati bayar pajak disebabkan sama kisah asmara bocil 15 tahun. Sekarang kebakaran di Gunung Bromo seluas 50 ha gegara orang bodoh foto prewed pake flare.",2023-09-11 13:11:25+00:00,1,"Beberapa kali kejadian besar dipicu hal yang kecil, misal kasus Rafael Alun yang bikin orang antipati bayar pajak disebabkan sama kisah asmara bocil 15 tahun. Sekarang kebakaran di Gunung Bromo seluas 50 ha gegara orang bodoh foto prewed pake flare.",Beberapa kali kejadian besar dipicu hal yang kecil misal kasus Rafael Alun yang bikin orang antipati bayar pajak disebabkan sama kisah asmara bocil tahun Sekarang kebakaran Gunung Bromo seluas gegara orang bodoh foto prewed pake flare ,beberapa kali kejadian besar dipicu hal yang kecil misal kasus rafael alun yang bikin orang antipati bayar pajak disebabkan sama kisah asmara bocil tahun sekarang kebakaran gunung bromo seluas gegara orang bodoh foto prewed pake flare ,"['beberapa', 'kali', 'kejadian', 'besar', 'dipicu', 'hal', 'yang', 'kecil', 'misal', 'kasus', 'rafael', 'alun', 'yang', 'bikin', 'orang', 'antipati', 'bayar', 'pajak', 'disebabkan', 'sama', 'kisah', 'asmara', 'bocil', 'tahun', 'sekarang', 'kebakaran', 'gunung', 'bromo', 'seluas', 'gegara', 'orang', 'bodoh', 'foto', 'prewed', 'pake', 'flare']","['beberapa', 'kali', 'kejadian', 'besar', 'dipicu', 'hal', 'yang', 'kecil', 'misal', 'kasus', 'rafael', 'alun', 'yang', 'bikin', 'orang', 'antipati', 'bayar', 'pajak', 'disebabkan', 'sama', 'kisah', 'asmara', 'bocil', 'tahun', 'sekarang', 'kebakaran', 'gunung', 'bromo', 'seluas', 'gegara', 'orang', 'bodoh', 'foto', 'prewed', 'pakai', 'flare']","['kali', 'kejadian', 'dipicu', 'rafael', 'alun', 'bikin', 'orang', 'antipati', 'bayar', 'pajak', 'disebabkan', 'kisah', 'asmara', 'bocil', 'kebakaran', 'gunung', 'bromo', 'seluas', 'gegara', 'orang', 'bodoh', 'foto', 'prewed', 'pakai', 'flare']","['kali', 'jadi', 'picu', 'rafael', 'alun', 'bikin', 'orang', 'antipati', 'bayar', 'pajak', 'sebab', 'kisah', 'asmara', 'bocil', 'bakar', 'gunung', 'bromo', 'luas', 'gegara', 'orang', 'bodoh', 'foto', 'prewed', 'pakai', 'flare']",kali jadi picu rafael alun bikin orang antipati bayar pajak sebab kisah asmara bocil bakar gunung bromo luas gegara orang bodoh foto prewed pakai flare
485,Kebakaran di Gunung Bromo belum padam ya api nya?,2023-09-11 13:12:38+00:00,2,Kebakaran di Gunung Bromo belum padam ya api nya?,Kebakaran Gunung Bromo belum padam api nya ,kebakaran gunung bromo belum padam api nya ,"['kebakaran', 'gunung', 'bromo', 'belum', 'padam', 'api', 'nya']","['kebakaran', 'gunung', 'bromo', 'belum', 'padam', 'api', 'nya']","['kebakaran', 'gunung', 'bromo', 'padam', 'api']","['bakar', 'gunung', 'bromo', 'padam', 'api']",bakar gunung bromo padam api
486,@Heraloebss Mertua saya (asli Tosari)bilang kalau rumput di Bromo itu sering kebakaran di musim kemarau dan kalau sudah musim hujan bakal menghijau kembali. Tapi sepanjang yang dia tau baru kali ini terjadi kebakaran sampai berhari-hari dan sangat luas sampai merusak pipa air dan pepohonan.,2023-09-11 13:17:55+00:00,1, Mertua saya (asli Tosari)bilang kalau rumput di Bromo itu sering kebakaran di musim kemarau dan kalau sudah musim hujan bakal menghijau kembali. Tapi sepanjang yang dia tau baru kali ini terjadi kebakaran sampai berhari-hari dan sangat luas sampai merusak pipa air dan pepohonan., Mertua saya asli Tosari bilang kalau rumput Bromo itu sering kebakaran musim kemarau dan kalau sudah musim hujan bakal menghijau kembali Tapi sepanjang yang dia tau baru kali ini terjadi kebakaran sampai berhari hari dan sangat luas sampai merusak pipa air dan pepohonan , mertua saya asli tosari bilang kalau rumput bromo itu sering kebakaran musim kemarau dan kalau sudah musim hujan bakal menghijau kembali tapi sepanjang yang dia tau baru kali ini terjadi kebakaran sampai berhari hari dan sangat luas sampai merusak pipa air dan pepohonan ,"['mertua', 'saya', 'asli', 'tosari', 'bilang', 'kalau', 'rumput', 'bromo', 'itu', 'sering', 'kebakaran', 'musim', 'kemarau', 'dan', 'kalau', 'sudah', 'musim', 'hujan', 'bakal', 'menghijau', 'kembali', 'tapi', 'sepanjang', 'yang', 'dia', 'tau', 'baru', 'kali', 'ini', 'terjadi', 'kebakaran', 'sampai', 'berhari', 'hari', 'dan', 'sangat', 'luas', 'sampai', 'merusak', 'pipa', 'air', 'dan', 'pepohonan']","['mertua', 'saya', 'asli', 'tosari', 'bilang', 'kalau', 'rumput', 'bromo', 'itu', 'sering', 'kebakaran', 'musim', 'kemarau', 'dan', 'kalau', 'sudah', 'musim', 'hujan', 'bakal', 'menghijau', 'kembali', 'tapi', 'sepanjang', 'yang', 'dia', 'tau', 'baru', 'kali', 'ini', 'terjadi', 'kebakaran', 'sampai', 'berhari', 'hari', 'dan', 'sangat', 'luas', 'sampai', 'merusak', 'pipa', 'air', 'dan', 'pepohonan']","['mertua', 'asli', 'tosari', 'bilang', 'rumput', 'bromo', 'kebakaran', 'musim', 'kemarau', 'musim', 'hujan', 'menghijau', 'tau', 'kali', 'kebakaran', 'berhari', 'luas', 'merusak', 'pipa', 'air', 'pepohonan']","['mertua', 'asli', 'tosari', 'bilang', 'rumput', 'bromo', 'bakar', 'musim', 'kemarau', 'musim', 'hujan', 'hijau', 'tau', 'kali', 'bakar', 'hari', 'luas', 'rusak', 'pipa', 'air', 'pohon']",mertua asli tosari bilang rumput bromo bakar musim kemarau musim hujan hijau tau kali bakar hari luas rusak pipa air pohon
487,@hahingang @louserinaa Kasian hewan2 dan tumbuh2an yg d Bromo kl kebakaran gini ...,2023-09-11 13:21:48+00:00,1,  Kasian hewan2 dan tumbuh2an yg d Bromo kl kebakaran gini ..., Kasian hewan dan tumbuh Bromo kebakaran gini , kasian hewan dan tumbuh bromo kebakaran gini ,"['kasian', 'hewan', 'dan', 'tumbuh', 'bromo', 'kebakaran', 'gini']","['kasihan', 'hewan', 'dan', 'tumbuh', 'bromo', 'kebakaran', 'begini']","['kasihan', 'hewan', 'tumbuh', 'bromo', 'kebakaran']","['kasihan', 'hewan', 'tumbuh', 'bromo', 'bakar']",kasihan hewan tumbuh bromo bakar
488,"Pdhl awalnya bahas kebakaran di Bromo, kok jd bahas hukum suap &amp  hadiah. 😅",2023-09-11 13:28:24+00:00,3,"Pdhl awalnya bahas kebakaran di Bromo, kok jd bahas hukum suap &amp  hadiah. 😅",Pdhl awalnya bahas kebakaran Bromo kok bahas hukum suap amp hadiah ,pdhl awalnya bahas kebakaran bromo kok bahas hukum suap amp hadiah ,"['pdhl', 'awalnya', 'bahas', 'kebakaran', 'bromo', 'kok', 'bahas', 'hukum', 'suap', 'amp', 'hadiah']","['padahal', 'awalnya', 'bahas', 'kebakaran', 'bromo', 'kok', 'bahas', 'hukum', 'suap', 'amp', 'hadiah']","['bahas', 'kebakaran', 'bromo', 'bahas', 'hukum', 'suap', 'hadiah']","['bahas', 'bakar', 'bromo', 'bahas', 'hukum', 'suap', 'hadiah']",bahas bakar bromo bahas hukum suap hadiah
489,"Parah bgt itu ih yg kebakaran di bromo grgr flare, lagian ngide bgt dah pake gituan di area banyak pepohonan mana lagi musim kemarau",2023-09-11 13:30:01+00:00,1,"Parah bgt itu ih yg kebakaran di bromo grgr flare, lagian ngide bgt dah pake gituan di area banyak pepohonan mana lagi musim kemarau",Parah bgt itu kebakaran bromo grgr flare lagian ngide bgt dah pake gituan area banyak pepohonan mana lagi musim kemarau,parah bgt itu kebakaran bromo grgr flare lagian ngide bgt dah pake gituan area banyak pepohonan mana lagi musim kemarau,"['parah', 'bgt', 'itu', 'kebakaran', 'bromo', 'grgr', 'flare', 'lagian', 'ngide', 'bgt', 'dah', 'pake', 'gituan', 'area', 'banyak', 'pepohonan', 'mana', 'lagi', 'musim', 'kemarau']","['parah', 'banget', 'itu', 'kebakaran', 'bromo', 'gara-gara', 'flare', 'lagian', 'ngide', 'banget', 'deh', 'pakai', 'begituan', 'area', 'banyak', 'pepohonan', 'mana', 'lagi', 'musim', 'kemarau']","['parah', 'banget', 'kebakaran', 'bromo', 'gara-gara', 'flare', 'ngide', 'banget', 'deh', 'pakai', 'begituan', 'area', 'pepohonan', 'musim', 'kemarau']","['parah', 'banget', 'bakar', 'bromo', 'gara-gara', 'flare', 'ngide', 'banget', 'deh', 'pakai', 'begitu', 'area', 'pohon', 'musim', 'kemarau']",parah banget bakar bromo gara-gara flare ngide banget deh pakai begitu area pohon musim kemarau
490,belum sempet ke Bromo udah kebakaran aja 😥,2023-09-11 13:30:39+00:00,2,belum sempet ke Bromo udah kebakaran aja 😥,belum sempet Bromo udah kebakaran aja ,belum sempet bromo udah kebakaran aja ,"['belum', 'sempet', 'bromo', 'udah', 'kebakaran', 'aja']","['belum', 'sempat', 'bromo', 'sudah', 'kebakaran', 'saja']","['bromo', 'kebakaran']","['bromo', 'bakar']",bromo bakar
